id_cliente,nome_cliente,email_cliente,pais
1,Cliente 1,cliente1@exemplo.com,Espanha
2,Cliente 2,cliente2@exemplo.com,Chile
3,Cliente 3,cliente3@exemplo.com,Argentina
4,Cliente 4,cliente4@exemplo.com,EUA
5,Cliente 5,cliente5@exemplo.com,Colômbia
6,Cliente 6,cliente6@exemplo.com,EUA
7,Cliente 7,cliente7@exemplo.com,Chile
8,Cliente 8,cliente8@exemplo.com,Brasil
9,Cliente 9,cliente9@exemplo.com,Argentina
10,Cliente 10,cliente10@exemplo.com,Colômbia
11,Cliente 11,cliente11@exemplo.com,Chile
12,Cliente 12,cliente12@exemplo.com,Chile
13,Cliente 13,cliente13@exemplo.com,Colômbia
14,Cliente 14,cliente14@exemplo.com,EUA
15,Cliente 15,cliente15@exemplo.com,Espanha
16,Cliente 16,cliente16@exemplo.com,Peru
17,Cliente 17,cliente17@exemplo.com,Canadá
18,Cliente 18,cliente18@exemplo.com,Chile
19,Cliente 19,cliente19@exemplo.com,EUA
20,Cliente 20,cliente20@exemplo.com,Portugal
21,Cliente 21,cliente21@exemplo.com,Peru
22,Cliente 22,cliente22@exemplo.com,Portugal
23,Cliente 23,cliente23@exemplo.com,EUA
24,Cliente 24,cliente24@exemplo.com,Chile
25,Cliente 25,cliente25@exemplo.com,Canadá
26,Cliente 26,cliente26@exemplo.com,Canadá
27,Cliente 27,cliente27@exemplo.com,Espanha
28,Cliente 28,cliente28@exemplo.com,EUA
29,Cliente 29,cliente29@exemplo.com,Canadá
30,Cliente 30,cliente30@exemplo.com,Espanha
31,Cliente 31,cliente31@exemplo.com,Brasil
32,Cliente 32,cliente32@exemplo.com,México
33,Cliente 33,cliente33@exemplo.com,Canadá
34,Cliente 34,cliente34@exemplo.com,Espanha
35,Cliente 35,cliente35@exemplo.com,México
36,Cliente 36,cliente36@exemplo.com,Argentina
37,Cliente 37,cliente37@exemplo.com,Argentina
38,Cliente 38,cliente38@exemplo.com,Colômbia
39,Cliente 39,cliente39@exemplo.com,Argentina
40,Cliente 40,cliente40@exemplo.com,Argentina
41,Cliente 41,cliente41@exemplo.com,Argentina
42,Cliente 42,cliente42@exemplo.com,Espanha
43,Cliente 43,cliente43@exemplo.com,Colômbia
44,Cliente 44,cliente44@exemplo.com,Canadá
45,Cliente 45,cliente45@exemplo.com,Espanha
46,Cliente 46,cliente46@exemplo.com,Argentina
47,Cliente 47,cliente47@exemplo.com,Portugal
48,Cliente 48,cliente48@exemplo.com,Portugal
49,Cliente 49,cliente49@exemplo.com,EUA
50,Cliente 50,cliente50@exemplo.com,EUA
51,Cliente 51,cliente51@exemplo.com,Espanha
52,Cliente 52,cliente52@exemplo.com,México
53,Cliente 53,cliente53@exemplo.com,Argentina
54,Cliente 54,cliente54@exemplo.com,Espanha
55,Cliente 55,cliente55@exemplo.com,Canadá
56,Cliente 56,cliente56@exemplo.com,Portugal
57,Cliente 57,cliente57@exemplo.com,EUA
58,Cliente 58,cliente58@exemplo.com,Portugal
59,Cliente 59,cliente59@exemplo.com,Argentina
60,Cliente 60,cliente60@exemplo.com,Argentina
61,Cliente 61,cliente61@exemplo.com,Espanha
62,Cliente 62,cliente62@exemplo.com,Peru
63,Cliente 63,cliente63@exemplo.com,Canadá
64,Cliente 64,cliente64@exemplo.com,Colômbia
65,Cliente 65,cliente65@exemplo.com,Peru
66,Cliente 66,cliente66@exemplo.com,Colômbia
67,Cliente 67,cliente67@exemplo.com,Brasil
68,Cliente 68,cliente68@exemplo.com,Brasil
69,Cliente 69,cliente69@exemplo.com,Peru
70,Cliente 70,cliente70@exemplo.com,Brasil
71,Cliente 71,cliente71@exemplo.com,México
72,Cliente 72,cliente72@exemplo.com,Brasil
73,Cliente 73,cliente73@exemplo.com,Colômbia
74,Cliente 74,cliente74@exemplo.com,Colômbia
75,Cliente 75,cliente75@exemplo.com,Chile
76,Cliente 76,cliente76@exemplo.com,Espanha
77,Cliente 77,cliente77@exemplo.com,Peru
78,Cliente 78,cliente78@exemplo.com,Chile
79,Cliente 79,cliente79@exemplo.com,Argentina
80,Cliente 80,cliente80@exemplo.com,Canadá
81,Cliente 81,cliente81@exemplo.com,Argentina
82,Cliente 82,cliente82@exemplo.com,Canadá
83,Cliente 83,cliente83@exemplo.com,Peru
84,Cliente 84,cliente84@exemplo.com,México
85,Cliente 85,cliente85@exemplo.com,Canadá
86,Cliente 86,cliente86@exemplo.com,Espanha
87,Cliente 87,cliente87@exemplo.com,Portugal
88,Cliente 88,cliente88@exemplo.com,Chile
89,Cliente 89,cliente89@exemplo.com,Espanha
90,Cliente 90,cliente90@exemplo.com,Brasil
91,Cliente 91,cliente91@exemplo.com,Brasil
92,Cliente 92,cliente92@exemplo.com,Chile
93,Cliente 93,cliente93@exemplo.com,Brasil
94,Cliente 94,cliente94@exemplo.com,Espanha
95,Cliente 95,cliente95@exemplo.com,Chile
96,Cliente 96,cliente96@exemplo.com,Portugal
97,Cliente 97,cliente97@exemplo.com,México
98,Cliente 98,cliente98@exemplo.com,Colômbia
99,Cliente 99,cliente99@exemplo.com,Brasil
100,Cliente 100,cliente100@exemplo.com,Colômbia
101,Cliente 101,cliente101@exemplo.com,Canadá
102,Cliente 102,cliente102@exemplo.com,EUA
103,Cliente 103,cliente103@exemplo.com,EUA
104,Cliente 104,cliente104@exemplo.com,Portugal
105,Cliente 105,cliente105@exemplo.com,Colômbia
106,Cliente 106,cliente106@exemplo.com,Portugal
107,Cliente 107,cliente107@exemplo.com,Chile
108,Cliente 108,cliente108@exemplo.com,Argentina
109,Cliente 109,cliente109@exemplo.com,Espanha
110,Cliente 110,cliente110@exemplo.com,Colômbia
111,Cliente 111,cliente111@exemplo.com,Espanha
112,Cliente 112,cliente112@exemplo.com,Canadá
113,Cliente 113,cliente113@exemplo.com,Chile
114,Cliente 114,cliente114@exemplo.com,Canadá
115,Cliente 115,cliente115@exemplo.com,Colômbia
116,Cliente 116,cliente116@exemplo.com,Canadá
117,Cliente 117,cliente117@exemplo.com,Brasil
118,Cliente 118,cliente118@exemplo.com,Chile
119,Cliente 119,cliente119@exemplo.com,Espanha
120,Cliente 120,cliente120@exemplo.com,México
121,Cliente 121,cliente121@exemplo.com,Canadá
122,Cliente 122,cliente122@exemplo.com,Colômbia
123,Cliente 123,cliente123@exemplo.com,Canadá
124,Cliente 124,cliente124@exemplo.com,Espanha
125,Cliente 125,cliente125@exemplo.com,EUA
126,Cliente 126,cliente126@exemplo.com,Argentina
127,Cliente 127,cliente127@exemplo.com,Colômbia
128,Cliente 128,cliente128@exemplo.com,Portugal
129,Cliente 129,cliente129@exemplo.com,Portugal
130,Cliente 130,cliente130@exemplo.com,Peru
131,Cliente 131,cliente131@exemplo.com,EUA
132,Cliente 132,cliente132@exemplo.com,México
133,Cliente 133,cliente133@exemplo.com,Espanha
134,Cliente 134,cliente134@exemplo.com,Colômbia
135,Cliente 135,cliente135@exemplo.com,México
136,Cliente 136,cliente136@exemplo.com,Canadá
137,Cliente 137,cliente137@exemplo.com,Argentina
138,Cliente 138,cliente138@exemplo.com,Espanha
139,Cliente 139,cliente139@exemplo.com,Peru
140,Cliente 140,cliente140@exemplo.com,EUA
141,Cliente 141,cliente141@exemplo.com,Argentina
142,Cliente 142,cliente142@exemplo.com,Brasil
143,Cliente 143,cliente143@exemplo.com,Argentina
144,Cliente 144,cliente144@exemplo.com,México
145,Cliente 145,cliente145@exemplo.com,EUA
146,Cliente 146,cliente146@exemplo.com,Chile
147,Cliente 147,cliente147@exemplo.com,Colômbia
148,Cliente 148,cliente148@exemplo.com,Brasil
149,Cliente 149,cliente149@exemplo.com,EUA
150,Cliente 150,cliente150@exemplo.com,Chile
151,Cliente 151,cliente151@exemplo.com,Argentina
152,Cliente 152,cliente152@exemplo.com,Brasil
153,Cliente 153,cliente153@exemplo.com,Canadá
154,Cliente 154,cliente154@exemplo.com,México
155,Cliente 155,cliente155@exemplo.com,México
156,Cliente 156,cliente156@exemplo.com,Colômbia
157,Cliente 157,cliente157@exemplo.com,EUA
158,Cliente 158,cliente158@exemplo.com,Peru
159,Cliente 159,cliente159@exemplo.com,Brasil
160,Cliente 160,cliente160@exemplo.com,Canadá
161,Cliente 161,cliente161@exemplo.com,Espanha
162,Cliente 162,cliente162@exemplo.com,EUA
163,Cliente 163,cliente163@exemplo.com,Canadá
164,Cliente 164,cliente164@exemplo.com,Chile
165,Cliente 165,cliente165@exemplo.com,Portugal
166,Cliente 166,cliente166@exemplo.com,Chile
167,Cliente 167,cliente167@exemplo.com,Canadá
168,Cliente 168,cliente168@exemplo.com,México
169,Cliente 169,cliente169@exemplo.com,EUA
170,Cliente 170,cliente170@exemplo.com,EUA
171,Cliente 171,cliente171@exemplo.com,Chile
172,Cliente 172,cliente172@exemplo.com,Argentina
173,Cliente 173,cliente173@exemplo.com,Chile
174,Cliente 174,cliente174@exemplo.com,Portugal
175,Cliente 175,cliente175@exemplo.com,Argentina
176,Cliente 176,cliente176@exemplo.com,Brasil
177,Cliente 177,cliente177@exemplo.com,Brasil
178,Cliente 178,cliente178@exemplo.com,Canadá
179,Cliente 179,cliente179@exemplo.com,Chile
180,Cliente 180,cliente180@exemplo.com,EUA
181,Cliente 181,cliente181@exemplo.com,Peru
182,Cliente 182,cliente182@exemplo.com,Colômbia
183,Cliente 183,cliente183@exemplo.com,Argentina
184,Cliente 184,cliente184@exemplo.com,Canadá
185,Cliente 185,cliente185@exemplo.com,Peru
186,Cliente 186,cliente186@exemplo.com,EUA
187,Cliente 187,cliente187@exemplo.com,Chile
188,Cliente 188,cliente188@exemplo.com,Brasil
189,Cliente 189,cliente189@exemplo.com,Espanha
190,Cliente 190,cliente190@exemplo.com,Colômbia
191,Cliente 191,cliente191@exemplo.com,Colômbia
192,Cliente 192,cliente192@exemplo.com,Argentina
193,Cliente 193,cliente193@exemplo.com,Canadá
194,Cliente 194,cliente194@exemplo.com,México
195,Cliente 195,cliente195@exemplo.com,Brasil
196,Cliente 196,cliente196@exemplo.com,Brasil
197,Cliente 197,cliente197@exemplo.com,Espanha
198,Cliente 198,cliente198@exemplo.com,Espanha
199,Cliente 199,cliente199@exemplo.com,Brasil
200,Cliente 200,cliente200@exemplo.com,Espanha
201,Cliente 201,cliente201@exemplo.com,EUA
202,Cliente 202,cliente202@exemplo.com,Espanha
203,Cliente 203,cliente203@exemplo.com,Portugal
204,Cliente 204,cliente204@exemplo.com,EUA
205,Cliente 205,cliente205@exemplo.com,Peru
206,Cliente 206,cliente206@exemplo.com,Espanha
207,Cliente 207,cliente207@exemplo.com,Espanha
208,Cliente 208,cliente208@exemplo.com,Chile
209,Cliente 209,cliente209@exemplo.com,Canadá
210,Cliente 210,cliente210@exemplo.com,EUA
211,Cliente 211,cliente211@exemplo.com,México
212,Cliente 212,cliente212@exemplo.com,México
213,Cliente 213,cliente213@exemplo.com,Portugal
214,Cliente 214,cliente214@exemplo.com,Peru
215,Cliente 215,cliente215@exemplo.com,Portugal
216,Cliente 216,cliente216@exemplo.com,Colômbia
217,Cliente 217,cliente217@exemplo.com,Portugal
218,Cliente 218,cliente218@exemplo.com,Portugal
219,Cliente 219,cliente219@exemplo.com,México
220,Cliente 220,cliente220@exemplo.com,Argentina
221,Cliente 221,cliente221@exemplo.com,Brasil
222,Cliente 222,cliente222@exemplo.com,Brasil
223,Cliente 223,cliente223@exemplo.com,Canadá
224,Cliente 224,cliente224@exemplo.com,Colômbia
225,Cliente 225,cliente225@exemplo.com,Canadá
226,Cliente 226,cliente226@exemplo.com,EUA
227,Cliente 227,cliente227@exemplo.com,Colômbia
228,Cliente 228,cliente228@exemplo.com,Canadá
229,Cliente 229,cliente229@exemplo.com,Canadá
230,Cliente 230,cliente230@exemplo.com,Espanha
231,Cliente 231,cliente231@exemplo.com,Portugal
232,Cliente 232,cliente232@exemplo.com,Portugal
233,Cliente 233,cliente233@exemplo.com,EUA
234,Cliente 234,cliente234@exemplo.com,Chile
235,Cliente 235,cliente235@exemplo.com,México
236,Cliente 236,cliente236@exemplo.com,Espanha
237,Cliente 237,cliente237@exemplo.com,Espanha
238,Cliente 238,cliente238@exemplo.com,Colômbia
239,Cliente 239,cliente239@exemplo.com,EUA
240,Cliente 240,cliente240@exemplo.com,Colômbia
