id_pedido,id_cliente,data_pedido,valor_total,id_produto_associado,nome_cliente,email_cliente,pais,id_produto,produto_associado_nome,produto_associado_categoria,produto_associado_preco
1,1061,2023-10-29,2770.21,928,Cliente 1061,cliente1061@exemplo.com,Peru,928,Produto 928,Livros,355.54
2,199,2023-02-27,357.21,473,Cliente 199,cliente199@exemplo.com,Espanha,473,Produto 473,Roupas,973.4
3,2675,2024-11-07,4928.99,401,Cliente 2675,cliente2675@exemplo.com,Chile,401,Produto 401,Esportes,584.43
4,1433,2024-04-09,680.26,768,Cliente 1433,cliente1433@exemplo.com,Peru,768,Produto 768,Brinquedos,277.48
5,1704,2024-02-06,832.94,513,Cliente 1704,cliente1704@exemplo.com,México,513,Produto 513,Artigos para Casa,577.02
6,658,2023-06-18,3610.52,81,Cliente 658,cliente658@exemplo.com,Colômbia,81,Produto 81,Beleza,7.27
7,4272,2024-05-16,930.82,535,Cliente 4272,cliente4272@exemplo.com,Argentina,535,Produto 535,Roupas,5.72
8,2140,2023-07-06,4732.24,864,Cliente 2140,cliente2140@exemplo.com,EUA,864,Produto 864,Brinquedos,614.72
9,2313,2023-11-24,1687.77,348,Cliente 2313,cliente2313@exemplo.com,Canadá,348,Produto 348,Livros,461.98
10,2094,2024-07-21,4201.16,263,Cliente 2094,cliente2094@exemplo.com,Peru,263,Produto 263,Alimentos,464.15
11,3666,2023-09-10,3128.62,782,Cliente 3666,cliente3666@exemplo.com,Argentina,782,Produto 782,Eletrônicos,51.77
12,4711,2024-02-06,1033.97,332,Cliente 4711,cliente4711@exemplo.com,Espanha,332,Produto 332,Roupas,234.29
13,3667,2023-12-08,1300.59,955,Cliente 3667,cliente3667@exemplo.com,Espanha,955,Produto 955,Beleza,770.33
14,2145,2023-01-10,4612.08,454,Cliente 2145,cliente2145@exemplo.com,México,454,Produto 454,Livros,146.29
15,4793,2024-06-15,35.92,64,Cliente 4793,cliente4793@exemplo.com,Chile,64,Produto 64,Artigos para Casa,579.98
16,2830,2024-05-13,1083.67,750,Cliente 2830,cliente2830@exemplo.com,Chile,750,Produto 750,Livros,176.72
17,1694,2023-04-15,2054.06,293,Cliente 1694,cliente1694@exemplo.com,Chile,293,Produto 293,Livros,681.62
18,2725,2024-11-17,431.28,256,Cliente 2725,cliente2725@exemplo.com,EUA,256,Produto 256,Beleza,889.64
19,4008,2023-08-23,318.37,417,Cliente 4008,cliente4008@exemplo.com,EUA,417,Produto 417,Esportes,474.02
20,889,2024-08-08,916.53,187,Cliente 889,cliente889@exemplo.com,EUA,187,Produto 187,Brinquedos,837.25
21,1774,2024-03-29,90.43,649,Cliente 1774,cliente1774@exemplo.com,México,649,Produto 649,Eletrônicos,235.29
22,1817,2023-03-10,4782.24,61,Cliente 1817,cliente1817@exemplo.com,Colômbia,61,Produto 61,Livros,792.38
23,4247,2024-06-10,2856.17,113,Cliente 4247,cliente4247@exemplo.com,Chile,113,Produto 113,Esportes,207.91
24,4701,2023-12-21,2861.26,314,Cliente 4701,cliente4701@exemplo.com,Brasil,314,Produto 314,Beleza,744.82
25,3041,2023-02-22,2956.01,396,Cliente 3041,cliente3041@exemplo.com,EUA,396,Produto 396,Livros,666.77
26,4723,2024-01-14,1787.02,354,Cliente 4723,cliente4723@exemplo.com,Peru,354,Produto 354,Roupas,948.49
27,4284,2024-04-01,998.5,515,Cliente 4284,cliente4284@exemplo.com,Brasil,515,Produto 515,Esportes,60.25
28,4875,2023-12-23,1523.99,779,Cliente 4875,cliente4875@exemplo.com,Peru,779,Produto 779,Brinquedos,61.52
29,1162,2023-07-02,491.89,896,Cliente 1162,cliente1162@exemplo.com,Brasil,896,Produto 896,Eletrônicos,684.14
30,821,2023-05-22,2150.0,621,Cliente 821,cliente821@exemplo.com,Espanha,621,Produto 621,Livros,549.28
31,4894,2024-12-02,4652.27,432,Cliente 4894,cliente4894@exemplo.com,México,432,Produto 432,Brinquedos,712.15
32,4077,2023-12-02,3746.84,109,Cliente 4077,cliente4077@exemplo.com,Argentina,109,Produto 109,Livros,460.59
33,799,2023-01-07,3141.11,683,Cliente 799,cliente799@exemplo.com,Peru,683,Produto 683,Eletrônicos,921.74
34,232,2023-10-24,3261.98,133,Cliente 232,cliente232@exemplo.com,EUA,133,Produto 133,Esportes,522.9
35,4609,2023-01-12,3462.63,492,Cliente 4609,cliente4609@exemplo.com,Canadá,492,Produto 492,Esportes,205.78
36,599,2023-01-28,3187.73,490,Cliente 599,cliente599@exemplo.com,Portugal,490,Produto 490,Alimentos,435.95
37,2898,2023-12-29,1020.69,637,Cliente 2898,cliente2898@exemplo.com,Peru,637,Produto 637,Beleza,179.77
38,825,2024-03-13,2703.5,157,Cliente 825,cliente825@exemplo.com,Argentina,157,Produto 157,Beleza,615.42
39,536,2023-09-07,3976.1,673,Cliente 536,cliente536@exemplo.com,EUA,673,Produto 673,Alimentos,339.05
40,2153,2023-04-17,1308.09,516,Cliente 2153,cliente2153@exemplo.com,Portugal,516,Produto 516,Esportes,807.49
41,1720,2023-11-22,552.54,693,Cliente 1720,cliente1720@exemplo.com,México,693,Produto 693,Artigos para Casa,866.75
42,165,2024-10-15,3455.26,1,Cliente 165,cliente165@exemplo.com,Brasil,1,Produto 1,Brinquedos,28.87
43,362,2024-07-29,4751.03,351,Cliente 362,cliente362@exemplo.com,Argentina,351,Produto 351,Esportes,799.54
44,2474,2024-12-04,1487.94,141,Cliente 2474,cliente2474@exemplo.com,Chile,141,Produto 141,Esportes,394.26
45,2142,2023-04-24,4216.02,465,Cliente 2142,cliente2142@exemplo.com,Chile,465,Produto 465,Artigos para Casa,784.67
46,4591,2024-08-14,674.86,909,Cliente 4591,cliente4591@exemplo.com,Brasil,909,Produto 909,Beleza,129.16
47,1755,2023-04-19,4169.26,224,Cliente 1755,cliente1755@exemplo.com,Brasil,224,Produto 224,Roupas,594.14
48,347,2023-01-28,2507.03,248,Cliente 347,cliente347@exemplo.com,Peru,248,Produto 248,Artigos para Casa,241.72
49,1081,2023-02-19,3201.85,845,Cliente 1081,cliente1081@exemplo.com,Colômbia,845,Produto 845,Livros,749.28
50,1826,2023-08-17,528.0,214,Cliente 1826,cliente1826@exemplo.com,Espanha,214,Produto 214,Esportes,474.24
51,2844,2023-07-08,3878.21,180,Cliente 2844,cliente2844@exemplo.com,Canadá,180,Produto 180,Roupas,300.28
52,1511,2023-03-23,4406.24,791,Cliente 1511,cliente1511@exemplo.com,Portugal,791,Produto 791,Artigos para Casa,301.54
53,3036,2023-06-21,131.76,47,Cliente 3036,cliente3036@exemplo.com,EUA,47,Produto 47,Roupas,359.93
54,4569,2023-09-05,321.55,639,Cliente 4569,cliente4569@exemplo.com,Peru,639,Produto 639,Esportes,948.03
55,3689,2024-05-16,2002.0,390,Cliente 3689,cliente3689@exemplo.com,Colômbia,390,Produto 390,Alimentos,791.54
56,3546,2023-11-22,453.19,284,Cliente 3546,cliente3546@exemplo.com,Canadá,284,Produto 284,Eletrônicos,364.51
57,3075,2024-06-27,1547.37,964,Cliente 3075,cliente3075@exemplo.com,Colômbia,964,Produto 964,Esportes,102.91
58,4056,2024-03-02,4195.27,320,Cliente 4056,cliente4056@exemplo.com,Brasil,320,Produto 320,Beleza,965.77
59,4365,2024-08-18,2174.6,363,Cliente 4365,cliente4365@exemplo.com,México,363,Produto 363,Eletrônicos,856.69
60,1747,2024-02-17,3967.2,834,Cliente 1747,cliente1747@exemplo.com,Canadá,834,Produto 834,Roupas,504.81
61,1569,2024-03-31,2803.54,590,Cliente 1569,cliente1569@exemplo.com,EUA,590,Produto 590,Esportes,973.03
62,3015,2023-09-23,4479.65,93,Cliente 3015,cliente3015@exemplo.com,Argentina,93,Produto 93,Beleza,83.56
63,3453,2023-04-09,2733.51,805,Cliente 3453,cliente3453@exemplo.com,Canadá,805,Produto 805,Livros,490.29
64,2129,2023-06-17,1694.01,420,Cliente 2129,cliente2129@exemplo.com,Colômbia,420,Produto 420,Eletrônicos,580.29
65,919,2024-01-15,1310.95,812,Cliente 919,cliente919@exemplo.com,Argentina,812,Produto 812,Brinquedos,574.57
66,4663,2024-04-28,3657.36,479,Cliente 4663,cliente4663@exemplo.com,Chile,479,Produto 479,Beleza,129.84
67,1246,2024-07-13,3321.35,986,Cliente 1246,cliente1246@exemplo.com,Brasil,986,Produto 986,Livros,283.55
68,2280,2024-12-23,2761.54,165,Cliente 2280,cliente2280@exemplo.com,Peru,165,Produto 165,Beleza,337.47
69,1768,2024-09-17,18.92,650,Cliente 1768,cliente1768@exemplo.com,Portugal,650,Produto 650,Livros,521.0
70,4998,2024-10-20,3794.97,820,Cliente 4998,cliente4998@exemplo.com,Brasil,820,Produto 820,Roupas,962.24
71,4266,2024-12-06,2245.02,268,Cliente 4266,cliente4266@exemplo.com,Argentina,268,Produto 268,Brinquedos,831.65
72,298,2023-11-09,4750.55,143,Cliente 298,cliente298@exemplo.com,Espanha,143,Produto 143,Alimentos,941.06
73,3953,2023-05-22,3414.53,710,Cliente 3953,cliente3953@exemplo.com,Portugal,710,Produto 710,Eletrônicos,618.15
74,4660,2023-11-28,4324.07,597,Cliente 4660,cliente4660@exemplo.com,México,597,Produto 597,Beleza,807.46
75,3589,2023-07-28,233.96,276,Cliente 3589,cliente3589@exemplo.com,Colômbia,276,Produto 276,Artigos para Casa,829.2
76,3557,2023-07-09,2159.22,347,Cliente 3557,cliente3557@exemplo.com,EUA,347,Produto 347,Roupas,614.59
77,4180,2024-08-07,3484.49,772,Cliente 4180,cliente4180@exemplo.com,México,772,Produto 772,Esportes,170.66
78,2666,2024-05-20,3783.71,596,Cliente 2666,cliente2666@exemplo.com,Chile,596,Produto 596,Alimentos,689.29
79,4623,2023-05-18,15.62,428,Cliente 4623,cliente4623@exemplo.com,Espanha,428,Produto 428,Livros,242.16
80,4442,2024-09-19,510.91,262,Cliente 4442,cliente4442@exemplo.com,Chile,262,Produto 262,Artigos para Casa,76.41
81,4313,2024-01-28,3228.31,474,Cliente 4313,cliente4313@exemplo.com,Chile,474,Produto 474,Esportes,113.38
82,937,2024-02-21,3836.97,608,Cliente 937,cliente937@exemplo.com,Peru,608,Produto 608,Roupas,847.38
83,3601,2024-01-28,672.42,865,Cliente 3601,cliente3601@exemplo.com,Espanha,865,Produto 865,Beleza,819.7
84,2879,2024-03-15,4547.01,781,Cliente 2879,cliente2879@exemplo.com,Brasil,781,Produto 781,Brinquedos,547.93
85,4559,2024-10-08,853.73,963,Cliente 4559,cliente4559@exemplo.com,Espanha,963,Produto 963,Alimentos,77.23
86,792,2024-01-17,191.67,300,Cliente 792,cliente792@exemplo.com,Portugal,300,Produto 300,Artigos para Casa,444.21
87,2081,2023-03-24,4523.74,436,Cliente 2081,cliente2081@exemplo.com,Brasil,436,Produto 436,Esportes,337.49
88,490,2024-08-23,409.59,271,Cliente 490,cliente490@exemplo.com,Peru,271,Produto 271,Eletrônicos,78.68
89,150,2023-08-11,2372.85,461,Cliente 150,cliente150@exemplo.com,México,461,Produto 461,Livros,599.09
90,3601,2024-02-14,4623.23,788,Cliente 3601,cliente3601@exemplo.com,Espanha,788,Produto 788,Beleza,238.64
91,3974,2023-09-19,2760.67,590,Cliente 3974,cliente3974@exemplo.com,Peru,590,Produto 590,Esportes,973.03
92,2362,2023-07-30,2534.89,230,Cliente 2362,cliente2362@exemplo.com,Argentina,230,Produto 230,Eletrônicos,909.05
93,1558,2023-01-26,2733.24,904,Cliente 1558,cliente1558@exemplo.com,México,904,Produto 904,Roupas,392.46
94,3520,2024-02-27,1042.02,606,Cliente 3520,cliente3520@exemplo.com,Brasil,606,Produto 606,Artigos para Casa,541.59
95,2734,2023-04-28,66.11,655,Cliente 2734,cliente2734@exemplo.com,Chile,655,Produto 655,Esportes,426.12
96,2376,2024-05-22,3984.42,995,Cliente 2376,cliente2376@exemplo.com,Colômbia,995,Produto 995,Roupas,37.08
